Place,pH,pH (Cls) ,EC,EC (Cls) ,OC,OC (Cls) ,N,N (Cls) ,P,P (Cls) ,K,K( Cls) ,S,S (Cls) ,Zn,Zn (Cls) ,Fe,Fe (Cls) ,Cu,Cu( Cls) ,Mn,Mn (Cls) ,B,B( C ls) ,Suitable crop
coonoor,5.100, HAc,0.370,N   ,0.600,M ,120.000,VL,44.000,M ,225.000,M ,5.000,D,0.840,S,15.200,S,1.100,S,7.260,S,12.000,S,potato
coonoor,5.000, HAc,0.380,N   ,0.540,M ,72.000,VL,,,,,,,,,,,,,,,,,potato
coonoor,5.300, HAc,0.390,N   ,0.740,M ,71.200,VL,44.000,M ,215.000,M ,5.000,D,0.840,S,15.860,S,0.860,S,7.840,S,12.000,S,potato
coonoor,5.300, HAc,0.380,N   ,0.840,H ,130.000,VL,44.000,M ,58.000,VL,13.000,S,0.720,S,15.200,S,1.100,S,7.260,S,12.000,S,potato
coonoor,5.200, HAc,0.360,N   ,1.170,VH,70.000,VL,33.000,M ,320.000,M ,13.000,S,0.630,S,15.180,S,0.980,S,6.120,S,12.000,S,potato
coonoor,5.400, HAc,0.540,N   ,0.690,M ,92.400,VL,52.000,M ,260.000,M ,13.000,S,0.960,S,16.200,S,1.220,S,7.240,S,12.000,S,potato
coonoor,5.200, HAc,0.520,N   ,0.900,H ,75.600,VL,65.000,H ,300.000,M ,13.000,S,0.820,S,15.220,S,0.840,S,6.900,S,12.000,S,potato
coonoor,5.000, HAc,0.520,N   ,1.500,VH,120.400,VL,52.000,M ,260.000,M ,13.000,S,0.840,S,14.700,S,1.240,S,6.740,S,12.000,S,potato
coonoor,4.900, HAc,0.480,N   ,0.600,M ,70.000,VL,22.000,L ,270.000,M ,0.500,D,1.910,S,15.820,S,1.240,S,6.820,S,0.500,D,potato
coonoor,4.900, HAc,0.480,N   ,0.600,M ,70.000,VL,44.000,M ,300.000,M ,13.000,S,0.760,S,16.940,S,2.200,S,6.600,S,12.000,S,potato
coonoor,4.900, HAc,0.180,N   ,0.600,M ,70.000,VL,22.000,L ,270.000,M ,5.000,D,0.910,S,15.820,S,1.260,S,6.600,S,0.500,D,potato
coonoor,5.000, HAc,0.190,N   ,0.300,L ,211.000,L ,67.000,H ,586.000,H ,13.000,S,2.860,S,8.480,S,0.660,S,8.600,S,0.200,D,potato
coonoor,5.000, HAc,0.130,N   ,0.480,L ,221.000,L ,127.000,VH,259.000,M ,13.000,S,0.380,D,22.160,S,0.680,S,3.640,S,0.500,D,potato
coonoor,5.000, HAc,0.190,N   ,0.540,M ,204.000,L ,54.000,M ,166.000,M ,13.000,S,2.860,S,8.480,S,0.660,S,8.600,S,0.200,D,potato
